Country,Proportion of undernourished in the population (%);1999,Proportion of undernourished in the population (%);2000,Proportion of undernourished in the population (%);2001,Proportion of undernourished in the population (%);2004,Proportion of undernourished in the population (%);2005,Proportion of undernourished in the population (%);2006,Proportion of undernourished in the population (%);2009,Proportion of undernourished in the population (%);2010,Proportion of undernourished in the population (%);2011,Proportion of undernourished in the population (%);2016,Proportion of undernourished in the population (%);2017,Proportion of undernourished in the population (%);2018,"Prevalence of wasting in
 children under five years (%);1998","Prevalence of wasting in
 children under five years (%);1999","Prevalence of wasting in
 children under five years (%);2000","Prevalence of wasting in
 children under five years (%);2001","Prevalence of wasting in
 children under five years (%);2002","Prevalence of wasting in
 children under five years (%);2003","Prevalence of wasting in
 children under five years (%);2004","Prevalence of wasting in
 children under five years (%);2005","Prevalence of wasting in
 children under five years (%);2006","Prevalence of wasting in
 children under five years (%);2007","Prevalence of wasting in
 children under five years (%);2008","Prevalence of wasting in
 children under five years (%);2009","Prevalence of wasting in
 children under five years (%);2010","Prevalence of wasting in
 children under five years (%);2011","Prevalence of wasting in
 children under five years (%);2012","Prevalence of wasting in
 children under five years (%);2014","Prevalence of wasting in
 children under five years (%);2015","Prevalence of wasting in
 children under five years (%);2016","Prevalence of wasting in
 children under five years (%);2017","Prevalence of wasting in
 children under five years (%);2018","Prevalence of stunting in
 children under five years (%);1998","Prevalence of stunting in
 children under five years (%);1999","Prevalence of stunting in
 children under five years (%);2000","Prevalence of stunting in
 children under five years (%);2001","Prevalence of stunting in
 children under five years (%);2002","Prevalence of stunting in
 children under five years (%);2003","Prevalence of stunting in
 children under five years (%);2004","Prevalence of stunting in
 children under five years (%);2005","Prevalence of stunting in
 children under five years (%);2006","Prevalence of stunting in
 children under five years (%);2007","Prevalence of stunting in
 children under five years (%);2008","Prevalence of stunting in
 children under five years (%);2009","Prevalence of stunting in
 children under five years (%);2010","Prevalence of stunting in
 children under five years (%);2011","Prevalence of stunting in
 children under five years (%);2012","Prevalence of stunting in
 children under five years (%);2014","Prevalence of stunting in
 children under five years (%);2015","Prevalence of stunting in
 children under five years (%);2016","Prevalence of stunting in
 children under five years (%);2017","Prevalence of stunting in
 children under five years (%);2018",Hunger Index;1998,Hunger Index;1999,Hunger Index;2000,Hunger Index;2001,Hunger Index;2002,Hunger Index;2003,Hunger Index;2004,Hunger Index;2005,Hunger Index;2006,Hunger Index;2007,Hunger Index;2008,Hunger Index;2009,Hunger Index;2010,Hunger Index;2011,Hunger Index;2012,Hunger Index;2014,Hunger Index;2015,Hunger Index;2016,Hunger Index;2017,Hunger Index;2018
Iraq,28.3,28.3,28.3,28.2,28.2,28.2,27.3,27.3,27.3,29,29,29,6.6,6.6,6.6,6.6,6.6,6.3,6.3,6.3,6.3,6.3,6.5,6.5,6.5,6.5,6.5,2.5,2.5,2.5,2.5,2.5,28.1,28.1,28.1,28.1,28.1,23.7,23.7,23.7,23.7,23.7,22.1,22.1,22.1,22.1,22.1,9.9,9.9,9.9,9.9,9.9,26.4,26.4,26.4,26.4,26.4,24.8,24.8,24.8,24.8,24.8,23.8,23.8,23.8,23.8,23.8,18.7,18.7,18.7,18.7,18.7
Jamaica,7.4,7.4,7.4,7,7,7,8.8,8.8,8.8,8,8,8,3,3,3,3,3,4.1,4.1,4.1,4.1,4.1,5,5,5,5,5,3.6,3.6,3.6,3.6,3.6,7.2,7.2,7.2,7.2,7.2,6.2,6.2,6.2,6.2,6.2,6,6,6,6,6,6,6,6,6,6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,9.7,9.7,9.7,9.7,9.7,8.2,8.2,8.2,8.2,8.2
Jordan,12.6,12.6,12.6,6.6,6.6,6.6,8.2,8.2,8.2,12.2,12.2,12.2,2.5,2.5,2.5,2.5,2.5,2.3,2.3,2.3,2.3,2.3,1.6,1.6,1.6,1.6,1.6,2.4,2.4,2.4,2.4,2.4,11.6,11.6,11.6,11.6,11.6,10.2,10.2,10.2,10.2,10.2,8.2,8.2,8.2,8.2,8.2,10.3,10.3,10.3,10.3,10.3,12.1,12.1,12.1,12.1,12.1,8.7,8.7,8.7,8.7,8.7,8.3,8.3,8.3,8.3,8.3,10.5,10.5,10.5,10.5,10.5
Kazakhstan,5.8,5.8,5.8,5.9,5.9,5.9,3.1,3.1,3.1,42.5,42.5,42.5,2.5,2.5,2.5,2.5,2.5,4.9,4.9,4.9,4.9,4.9,4.1,4.1,4.1,4.1,4.1,3.1,3.1,3.1,3.1,3.1,13.2,13.2,13.2,13.2,13.2,17.5,17.5,17.5,17.5,17.5,13.1,13.1,13.1,13.1,13.1,8,8,8,8,8,11,11,11,11,11,12.4,12.4,12.4,12.4,12.4,8.6,8.6,8.6,8.6,8.6,5.5,5.5,5.5,5.5,5.5
Kenya,31.3,31.3,31.3,28.2,28.2,28.2,23.5,23.5,23.5,29.4,29.4,29.4,7.4,7.4,7.4,7.4,7.4,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,4.2,4.2,4.2,4.2,4.2,40.8,40.8,40.8,40.8,40.8,40.2,40.2,40.2,40.2,40.2,35.5,35.5,35.5,35.5,35.5,26.2,26.2,26.2,26.2,26.2,36.9,36.9,36.9,36.9,36.9,32.7,32.7,32.7,32.7,32.7,27.6,27.6,27.6,27.6,27.6,25.2,25.2,25.2,25.2,25.2
Kuwait,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,2.8,2.8,2.8,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3,2.4,2.4,2.4,2.4,2.4,3.1,3.1,3.1,3.1,3.1,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.1,4.1,4.1,4.1,4.1,4.9,4.9,4.9,4.9,4.9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Kyrgyz Republic,16.3,16.3,16.3,9.7,9.7,9.7,8.3,8.3,8.3,7.1,7.1,7.1,3.6,3.6,3.6,3.6,3.6,3.4,3.4,3.4,3.4,3.4,1.3,1.3,1.3,1.3,1.3,2,2,2,2,2,24.3,24.3,24.3,24.3,24.3,18.1,18.1,18.1,18.1,18.1,22.6,22.6,22.6,22.6,22.6,11.8,11.8,11.8,11.8,11.8,19.3,19.3,19.3,19.3,19.3,14,14,14,14,14,12.4,12.4,12.4,12.4,12.4,8.8,8.8,8.8,8.8,8.8
Lao PDR,37.7,37.7,37.7,27,27,27,21.1,21.1,21.1,16.5,16.5,16.5,17.5,17.5,17.5,17.5,17.5,7.4,7.4,7.4,7.4,7.4,6.4,6.4,6.4,6.4,6.4,9,9,9,9,9,48.2,48.2,48.2,48.2,48.2,47.7,47.7,47.7,47.7,47.7,44.2,44.2,44.2,44.2,44.2,33,33,33,33,33,47.7,47.7,47.7,47.7,47.7,35.9,35.9,35.9,35.9,35.9,30.5,30.5,30.5,30.5,30.5,25.7,25.7,25.7,25.7,25.7
Latvia,5.3,5.3,5.3,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,2.7,2.7,2.7,2.7,2.7,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.6,2.6,2.6,2.6,2.6,4.1,4.1,4.1,4.1,4.1,3.3,3.3,3.3,3.3,3.3,3,3,3,3,3,4,4,4,4,4,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Lebanon,42.5,42.5,42.5,3.4,3.4,3.4,4.5,4.5,4.5,11,11,11,4.7,4.7,4.7,4.7,4.7,6.6,6.6,6.6,6.6,6.6,4.1,4.1,4.1,4.1,4.1,4.7,4.7,4.7,4.7,4.7,15.7,15.7,15.7,15.7,15.7,16.5,16.5,16.5,16.5,16.5,12,12,12,12,12,15.3,15.3,15.3,15.3,15.3,9.1,9.1,9.1,9.1,9.1,10.3,10.3,10.3,10.3,10.3,8,8,8,8,8,11.6,11.6,11.6,11.6,11.6
Lesotho,13.6,13.6,13.6,11.7,11.7,11.7,12.7,12.7,12.7,13.1,13.1,13.1,6.8,6.8,6.8,6.8,6.8,5.6,5.6,5.6,5.6,5.6,3.8,3.8,3.8,3.8,3.8,2.8,2.8,2.8,2.8,2.8,52.7,52.7,52.7,52.7,52.7,44.7,44.7,44.7,44.7,44.7,39.3,39.3,39.3,39.3,39.3,33.4,33.4,33.4,33.4,33.4,33.1,33.1,33.1,33.1,33.1,30.4,30.4,30.4,30.4,30.4,26.2,26.2,26.2,26.2,26.2,23.2,23.2,23.2,23.2,23.2
Liberia,38.4,38.4,38.4,39.4,39.4,39.4,36.5,36.5,36.5,37.2,37.2,37.2,7.4,7.4,7.4,7.4,7.4,7.9,7.9,7.9,7.9,7.9,2.8,2.8,2.8,2.8,2.8,5.4,5.4,5.4,5.4,5.4,45.3,45.3,45.3,45.3,45.3,39.6,39.6,39.6,39.6,39.6,41.8,41.8,41.8,41.8,41.8,39,39,39,39,39,48.6,48.6,48.6,48.6,48.6,42.4,42.4,42.4,42.4,42.4,36,36,36,36,36,34.9,34.9,34.9,34.9,34.9
Libya,—,—,—,—,—,—,—,—,—,—,—,—,7.5,7.5,7.5,7.5,7.5,6.5,6.5,6.5,6.5,6.5,6.3,6.3,6.3,6.3,6.3,8,8,8,8,8,26.6,26.6,26.6,26.6,26.6,21,21,21,21,21,19.9,19.9,19.9,19.9,19.9,22.4,22.4,22.4,22.4,22.4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lithuania,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,2.8,2.8,2.8,2.8,2.8,2.3,2.3,2.3,2.3,2.3,2.1,2.1,2.1,2.1,2.1,2.7,2.7,2.7,2.7,2.7,5.5,5.5,5.5,5.5,5.5,4.1,4.1,4.1,4.1,4.1,3.4,3.4,3.4,3.4,3.4,5.2,5.2,5.2,5.2,5.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Madagascar,34.4,34.4,34.4,35,35,35,31.8,31.8,31.8,44.4,44.4,44.4,10.1,10.1,10.1,10.1,10.1,15.2,15.2,15.2,15.2,15.2,9.5,9.5,9.5,9.5,9.5,10.3,10.3,10.3,10.3,10.3,55,55,55,55,55,52.6,52.6,52.6,52.6,52.6,49.4,49.4,49.4,49.4,49.4,54.8,54.8,54.8,54.8,54.8,43.2,43.2,43.2,43.2,43.2,43.4,43.4,43.4,43.4,43.4,36.2,36.2,36.2,36.2,36.2,41.5,41.5,41.5,41.5,41.5
Malawi,27.1,27.1,27.1,26.1,26.1,26.1,21.8,21.8,21.8,17.5,17.5,17.5,6.8,6.8,6.8,6.8,6.8,6.3,6.3,6.3,6.3,6.3,4.1,4.1,4.1,4.1,4.1,2.8,2.8,2.8,2.8,2.8,54.6,54.6,54.6,54.6,54.6,52.4,52.4,52.4,52.4,52.4,47.3,47.3,47.3,47.3,47.3,37.4,37.4,37.4,37.4,37.4,44.5,44.5,44.5,44.5,44.5,37.7,37.7,37.7,37.7,37.7,31.1,31.1,31.1,31.1,31.1,23,23,23,23,23
Malaysia,2.8,2.8,2.8,3.9,3.9,3.9,3.7,3.7,3.7,2.5,2.5,2.5,15.3,15.3,15.3,15.3,15.3,11.9,11.9,11.9,11.9,11.9,10.5,10.5,10.5,10.5,10.5,11.5,11.5,11.5,11.5,11.5,20.7,20.7,20.7,20.7,20.7,17.2,17.2,17.2,17.2,17.2,15.8,15.8,15.8,15.8,15.8,20.7,20.7,20.7,20.7,20.7,15.5,15.5,15.5,15.5,15.5,13.1,13.1,13.1,13.1,13.1,11.9,11.9,11.9,11.9,11.9,13.1,13.1,13.1,13.1,13.1
Mali,14.6,14.6,14.6,11.1,11.1,11.1,6.9,6.9,6.9,6.3,6.3,6.3,12.6,12.6,12.6,12.6,12.6,15.4,15.4,15.4,15.4,15.4,9,9,9,9,9,9,9,9,9,9,42.5,42.5,42.5,42.5,42.5,37.6,37.6,37.6,37.6,37.6,27.8,27.8,27.8,27.8,27.8,26.9,26.9,26.9,26.9,26.9,44.2,44.2,44.2,44.2,44.2,38.4,38.4,38.4,38.4,38.4,27.4,27.4,27.4,27.4,27.4,24.1,24.1,24.1,24.1,24.1
Mauritania,11.6,11.6,11.6,12.1,12.1,12.1,8.2,8.2,8.2,10.4,10.4,10.4,15.3,15.3,15.3,15.3,15.3,13.6,13.6,13.6,13.6,13.6,12.2,12.2,12.2,12.2,12.2,14.8,14.8,14.8,14.8,14.8,38.6,38.6,38.6,38.6,38.6,31.5,31.5,31.5,31.5,31.5,22.5,22.5,22.5,22.5,22.5,27.9,27.9,27.9,27.9,27.9,33.4,33.4,33.4,33.4,33.4,30.6,30.6,30.6,30.6,30.6,24.9,24.9,24.9,24.9,24.9,26.7,26.7,26.7,26.7,26.7
Mauritius,6.6,6.6,6.6,5.2,5.2,5.2,4.8,4.8,4.8,6.5,6.5,6.5,14.2,14.2,14.2,14.2,14.2,13.9,13.9,13.9,13.9,13.9,11.9,11.9,11.9,11.9,11.9,7.3,7.3,7.3,7.3,7.3,12.1,12.1,12.1,12.1,12.1,10.7,10.7,10.7,10.7,10.7,8.9,8.9,8.9,8.9,8.9,6.7,6.7,6.7,6.7,6.7,15.3,15.3,15.3,15.3,15.3,14,14,14,14,14,12.2,12.2,12.2,12.2,12.2,9.6,9.6,9.6,9.6,9.6
Mexico,4.4,4.4,4.4,5.5,5.5,5.5,4.6,4.6,4.6,3.6,3.6,3.6,2,2,2,2,2,2,2,2,2,2,1.6,1.6,1.6,1.6,1.6,2,2,2,2,2,21.4,21.4,21.4,21.4,21.4,15.5,15.5,15.5,15.5,15.5,13.6,13.6,13.6,13.6,13.6,10,10,10,10,10,10.6,10.6,10.6,10.6,10.6,9.1,9.1,9.1,9.1,9.1,7.7,7.7,7.7,7.7,7.7,6.2,6.2,6.2,6.2,6.2
Moldova,—,—,—,—,—,—,—,—,—,—,—,—,4,4,4,4,4,5.9,5.9,5.9,5.9,5.9,1.9,1.9,1.9,1.9,1.9,2.9,2.9,2.9,2.9,2.9,11.6,11.6,11.6,11.6,11.6,10.7,10.7,10.7,10.7,10.7,6.4,6.4,6.4,6.4,6.4,6.2,6.2,6.2,6.2,6.2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Mongolia,35.1,35.1,35.1,31,31,31,20.8,20.8,20.8,13.4,13.4,13.4,7.1,7.1,7.1,7.1,7.1,2.7,2.7,2.7,2.7,2.7,1.7,1.7,1.7,1.7,1.7,1.3,1.3,1.3,1.3,1.3,29.8,29.8,29.8,29.8,29.8,27.5,27.5,27.5,27.5,27.5,15.4,15.4,15.4,15.4,15.4,7.3,7.3,7.3,7.3,7.3,31.8,31.8,31.8,31.8,31.8,25,25,25,25,25,15.8,15.8,15.8,15.8,15.8,9.7,9.7,9.7,9.7,9.7
Montenegro,—,—,—,—,—,—,42.5,42.5,42.5,42.5,42.5,42.5,—,—,—,—,—,4.2,4.2,4.2,4.2,4.2,3.3,3.3,3.3,3.3,3.3,3.1,3.1,3.1,3.1,3.1,,,,,,7.9,7.9,7.9,7.9,7.9,8.4,8.4,8.4,8.4,8.4,7.1,7.1,7.1,7.1,7.1,—,—,—,—,—,—,—,—,—,—,4,4,4,4,4,4,4,4,4,4
Morocco,6.8,6.8,6.8,5.7,5.7,5.7,5.2,5.2,5.2,3.4,3.4,3.4,4.3,4.3,4.3,4.3,4.3,10.8,10.8,10.8,10.8,10.8,2.3,2.3,2.3,2.3,2.3,3.4,3.4,3.4,3.4,3.4,24.4,24.4,24.4,24.4,24.4,23.1,23.1,23.1,23.1,23.1,14.9,14.9,14.9,14.9,14.9,16.6,16.6,16.6,16.6,16.6,15.8,15.8,15.8,15.8,15.8,17.7,17.7,17.7,17.7,17.7,10,10,10,10,10,9.4,9.4,9.4,9.4,9.4
Mozambique,41.1,41.1,41.1,37,37,37,28.5,28.5,28.5,27.9,27.9,27.9,8.1,8.1,8.1,8.1,8.1,5.4,5.4,5.4,5.4,5.4,6.1,6.1,6.1,6.1,6.1,3.7,3.7,3.7,3.7,3.7,50.7,50.7,50.7,50.7,50.7,46.9,46.9,46.9,46.9,46.9,42.9,42.9,42.9,42.9,42.9,34.5,34.5,34.5,34.5,34.5,49.9,49.9,49.9,49.9,49.9,42.3,42.3,42.3,42.3,42.3,35.3,35.3,35.3,35.3,35.3,28.8,28.8,28.8,28.8,28.8
Myanmar,48.3,48.3,48.3,32,32,32,16.9,16.9,16.9,10.6,10.6,10.6,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,7.9,7.9,7.9,7.9,7.9,6.6,6.6,6.6,6.6,6.6,40.8,40.8,40.8,40.8,40.8,40.6,40.6,40.6,40.6,40.6,35.1,35.1,35.1,35.1,35.1,29.4,29.4,29.4,29.4,29.4,44.4,44.4,44.4,44.4,44.4,36.4,36.4,36.4,36.4,36.4,25.9,25.9,25.9,25.9,25.9,19.8,19.8,19.8,19.8,19.8
Namibia,26.2,26.2,26.2,25.1,25.1,25.1,37.4,37.4,37.4,27.3,27.3,27.3,10,10,10,10,10,7.6,7.6,7.6,7.6,7.6,6.9,6.9,6.9,6.9,6.9,6.5,6.5,6.5,6.5,6.5,29.3,29.3,29.3,29.3,29.3,29.2,29.2,29.2,29.2,29.2,25.8,25.8,25.8,25.8,25.8,23.9,23.9,23.9,23.9,23.9,30.7,30.7,30.7,30.7,30.7,28.4,28.4,28.4,28.4,28.4,30.6,30.6,30.6,30.6,30.6,24.9,24.9,24.9,24.9,24.9
Nepal,22,22,22,16,16,16,10.1,10.1,10.1,8.7,8.7,8.7,11.3,11.3,11.3,11.3,11.3,12.7,12.7,12.7,12.7,12.7,11.2,11.2,11.2,11.2,11.2,9.6,9.6,9.6,9.6,9.6,57.1,57.1,57.1,57.1,57.1,49.2,49.2,49.2,49.2,49.2,40.5,40.5,40.5,40.5,40.5,36,36,36,36,36,36.8,36.8,36.8,36.8,36.8,31.3,31.3,31.3,31.3,31.3,24.5,24.5,24.5,24.5,24.5,20.8,20.8,20.8,20.8,20.8
Nicaragua,32.6,32.6,32.6,24.4,24.4,24.4,20.9,20.9,20.9,17,17,17,2.3,2.3,2.3,2.3,2.3,0.3,0.3,0.3,0.3,0.3,2.2,2.2,2.2,2.2,2.2,1.2,1.2,1.2,1.2,1.2,25.1,25.1,25.1,25.1,25.1,18.8,18.8,18.8,18.8,18.8,17.3,17.3,17.3,17.3,17.3,16.5,16.5,16.5,16.5,16.5,24.6,24.6,24.6,24.6,24.6,17.6,17.6,17.6,17.6,17.6,16.2,16.2,16.2,16.2,16.2,13.3,13.3,13.3,13.3,13.3
Niger,21.6,21.6,21.6,15.1,15.1,15.1,11.3,11.3,11.3,16.5,16.5,16.5,16.2,16.2,16.2,16.2,16.2,12.5,12.5,12.5,12.5,12.5,16,16,16,16,16,10.1,10.1,10.1,10.1,10.1,53.5,53.5,53.5,53.5,53.5,54.8,54.8,54.8,54.8,54.8,47,47,47,47,47,40.6,40.6,40.6,40.6,40.6,52.1,52.1,52.1,52.1,52.1,42.4,42.4,42.4,42.4,42.4,36.6,36.6,36.6,36.6,36.6,30.2,30.2,30.2,30.2,30.2
