Country Name,country_code,date,Average quality imported,Average unit values imported,Export Quality Index,Export quality 95 percent interval - lower bound,Export quality 95 percent interval - upper bound,Exporter real gross domestic product per capita,Trade value of exports,Unit value 95 percent interval - lower bound,Unit value 95 percent interval - upper bound,Unit value of exports
Albania,ALB,1990,209.7642047700001,171.90760956999992,180.81964004000005,149.49809301000002,234.15885461999994,417138.0,1117031.1535479994,66.60566115660004,245.47836668999994,108.59946402599996
Albania,ALB,1991,202.46971018999992,173.34964541900013,171.33341014000004,147.78258226,225.88875653999978,283503.0,706857.3401763004,64.45063504699999,213.99925460000014,100.43487713199998
Albania,ALB,1992,208.54453261999993,178.86851426000004,172.57744646999993,150.30523748,232.86657205000017,273460.0,559187.8032260002,65.48384981779999,232.54500805000012,96.28585153900008
Albania,ALB,1993,218.84080477,180.00588211199994,188.09387818000002,163.3014928400001,244.42274281,317840.0,702183.4150973995,67.65431847149995,239.72783822000002,105.18202031099999
Albania,ALB,1994,259.96103400000015,211.5062908359998,223.96272384999997,195.58425920999989,285.2484171800001,406096.0,1056304.7988650005,75.03364530219999,296.35797782999987,153.75244014899997
Albania,ALB,1995,285.3655403900001,240.55637473999994,246.22014532000009,214.80399784999997,313.5413330799997,510600.0,1638399.9621177004,86.34838812170004,334.49805856000006,138.71002698600003
Albania,ALB,1996,309.56289333000007,251.94579529899997,271.21619546000005,234.70207540999996,338.53076162,605556.0,2041682.914715299,93.22919233699999,363.3332769099996,163.41716790099989
Albania,ALB,1997,296.91784743000017,245.50254983399984,255.69816249000007,223.11777642999994,328.29543713,524901.0,1727331.74582,90.30960106559995,339.82303306000017,181.2976152520001
Albania,ALB,1998,287.85648052000005,245.19229745900006,243.57795759999985,212.50525443999996,313.91544126,551700.0,1966420.8042149995,83.26924325399997,320.5922034499997,165.08491421
Albania,ALB,1999,255.69158641000007,214.70156923500005,219.60606642000005,187.92624612000003,277.64127956000004,556765.0,1828242.6403659994,73.83473498120004,275.54075107,149.27273591999992
Albania,ALB,2000,271.98841561,215.73795889099995,231.71116926999997,205.12359342999986,297.19308308999973,638448.0,1788790.046567001,83.87776219590002,309.02667968,159.709561888
Albania,ALB,2001,311.5912537600003,239.20083605999994,266.84289181,233.01930583000004,341.56177819000004,798850.0,2531317.230099997,98.7364138168001,347.6500955300001,191.42010658922007
Albania,ALB,2002,302.39852180000014,237.16177036000002,257.9878011999999,226.8663792299998,330.93391452999987,806666.0,2473943.710695,91.38264428160008,350.06532387000016,168.45334808690004
Albania,ALB,2003,336.9042215299997,277.32448523999983,289.1106822299999,253.79040258999996,371.7267436100001,965712.0,3256669.193739995,102.73377350999999,378.3937416999997,202.02021276800008
Albania,ALB,2004,363.2211264600001,306.9220982180001,311.6331881500003,273.7610563099999,397.30902210000016,1097584.0,4153307.5929839974,113.85676852100002,414.55324387999997,210.8852267209
Albania,ALB,2005,371.34444743000006,316.34063766500014,319.2883564300002,279.55356392000004,406.63012843999985,1190799.0,4244653.623454995,113.13561168939994,442.60780202999985,243.99315035900005
Albania,ALB,2006,374.70957971999985,318.9595250299999,324.13316987,280.7006606720004,411.2688203799999,1283145.0,4950515.062994,119.62071207720007,422.65679373999984,241.81738200072022
Albania,ALB,2007,384.4439619599999,326.04172173000006,336.9836695900001,292.678737381,424.39584703999975,1414504.0,7200957.6430959925,124.18427955139994,444.5249519700002,226.38071645699983
Albania,ALB,2008,415.0941139199998,351.0303237200001,368.35133712000027,316.77425644999977,453.58368501000035,1645900.0,9400250.314506995,139.04402954959994,459.2943515799999,237.40491337079996
Albania,ALB,2009,465.13463780000023,393.0573463829997,421.09345410000003,367.7675466099999,519.8965763099998,1967928.0,18218812.143714987,150.2649555648002,534.0095552299998,294.4110615251001
