[T24.],Land,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
13,Central America,2005,Land area (thousand hectares),"245,227",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2005,Arable land (thousand hectares),"29,276",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2005,Permanent crops (thousand hectares),"4,837",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2005,Forest cover (thousand hectares),"89,276",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2005,Arable land (% of total land area),11.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2005,Permanent crops (% of total land area),2.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2005,Forest cover (% of total land area),36.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2010,Land area (thousand hectares),"245,227",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2010,Arable land (thousand hectares),"28,796",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2010,Permanent crops (thousand hectares),"5,127",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2010,Forest cover (thousand hectares),"87,508",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2010,Arable land (% of total land area),11.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2010,Permanent crops (% of total land area),2.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2010,Forest cover (% of total land area),35.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2016,Land area (thousand hectares),"245,227",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2016,Arable land (thousand hectares),"27,574",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2016,Permanent crops (thousand hectares),"5,288",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2016,Forest cover (thousand hectares),"86,047",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2016,Arable land (% of total land area),11.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2016,Permanent crops (% of total land area),2.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
13,Central America,2016,Forest cover (% of total land area),35.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2005,Land area (thousand hectares),"1,746,111",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2005,Arable land (thousand hectares),"122,551",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2005,Permanent crops (thousand hectares),"13,679",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2005,Forest cover (thousand hectares),"868,611",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2005,Arable land (% of total land area),7.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2005,Permanent crops (% of total land area),0.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2005,Forest cover (% of total land area),49.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2010,Land area (thousand hectares),"1,746,111",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2010,Arable land (thousand hectares),"130,311",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2010,Permanent crops (thousand hectares),"13,925",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2010,Forest cover (thousand hectares),"852,133",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2010,Arable land (% of total land area),7.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2010,Permanent crops (% of total land area),0.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2010,Forest cover (% of total land area),48.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2016,Land area (thousand hectares),"1,746,111",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2016,Arable land (thousand hectares),"142,480",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2016,Permanent crops (thousand hectares),"13,868",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2016,Forest cover (thousand hectares),"839,986",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2016,Arable land (% of total land area),8.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2016,Permanent crops (% of total land area),0.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
5,South America,2016,Forest cover (% of total land area),48.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2005,Land area (thousand hectares),"3,102,282",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2005,Arable land (thousand hectares),"492,142",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2005,Permanent crops (thousand hectares),"70,530",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2005,Forest cover (thousand hectares),"580,868",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2005,Arable land (% of total land area),15.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2005,Permanent crops (% of total land area),2.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2005,Forest cover (% of total land area),18.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2010,Land area (thousand hectares),"3,102,070",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2010,Arable land (thousand hectares),"480,688",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2010,Permanent crops (thousand hectares),"81,159",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2010,Forest cover (thousand hectares),"589,405",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2010,Arable land (% of total land area),15.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2010,Permanent crops (% of total land area),2.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2010,Forest cover (% of total land area),19.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2016,Land area (thousand hectares),"3,101,952",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2016,Arable land (thousand hectares),"495,623",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2016,Permanent crops (thousand hectares),"87,912",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2016,Forest cover (thousand hectares),"594,153",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2016,Arable land (% of total land area),16.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2016,Permanent crops (% of total land area),2.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
142,Asia,2016,Forest cover (% of total land area),19.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2005,Land area (thousand hectares),"392,679",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2005,Arable land (thousand hectares),"37,043",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2005,Permanent crops (thousand hectares),705,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2005,Forest cover (thousand hectares),"12,038",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2005,Arable land (% of total land area),9.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2005,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2005,Forest cover (% of total land area),3.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),12.32,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
143,Central Asia,2010,Land area (thousand hectares),"392,679",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2010,Arable land (thousand hectares),"36,998",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2010,Permanent crops (thousand hectares),704,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2010,Forest cover (thousand hectares),"11,799",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2010,Arable land (% of total land area),9.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2010,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2010,Forest cover (% of total land area),3.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),15.70,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
143,Central Asia,2016,Land area (thousand hectares),"392,562",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2016,Arable land (thousand hectares),"37,753",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2016,Permanent crops (thousand hectares),771,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2016,Forest cover (thousand hectares),"11,686",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2016,Arable land (% of total land area),9.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2016,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2016,Forest cover (% of total land area),3.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
143,Central Asia,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),16.48,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
143,Central Asia,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),16.48,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
30,Eastern Asia,2005,Land area (thousand hectares),"1,156,002",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2005,Arable land (thousand hectares),"121,906",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2005,Permanent crops (thousand hectares),"13,296",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2005,Forest cover (thousand hectares),"241,841",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2005,Arable land (% of total land area),10.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2005,Permanent crops (% of total land area),1.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2005,Forest cover (% of total land area),20.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),48.68,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
30,Eastern Asia,2010,Land area (thousand hectares),"1,156,042",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2010,Arable land (thousand hectares),"116,625",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2010,Permanent crops (thousand hectares),"15,468",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2010,Forest cover (thousand hectares),"250,504",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2010,Arable land (% of total land area),10.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2010,Permanent crops (% of total land area),1.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2010,Forest cover (% of total land area),21.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),49.47,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
30,Eastern Asia,2016,Land area (thousand hectares),"1,156,072",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2016,Arable land (thousand hectares),"128,014",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2016,Permanent crops (thousand hectares),"16,951",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2016,Forest cover (thousand hectares),"258,356",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2016,Arable land (% of total land area),11.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2016,Permanent crops (% of total land area),1.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2016,Forest cover (% of total land area),22.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
30,Eastern Asia,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),50.99,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
30,Eastern Asia,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),51.11,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
35,South-eastern Asia,2005,Land area (thousand hectares),"434,076",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2005,Arable land (thousand hectares),"65,540",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2005,Permanent crops (thousand hectares),"36,521",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2005,Forest cover (thousand hectares),"217,123",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2005,Arable land (% of total land area),15.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2005,Permanent crops (% of total land area),8.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2005,Forest cover (% of total land area),50.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),31.37,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
35,South-eastern Asia,2010,Land area (thousand hectares),"434,067",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2010,Arable land (thousand hectares),"68,117",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2010,Permanent crops (thousand hectares),"42,500",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2010,Forest cover (thousand hectares),"214,594",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2010,Arable land (% of total land area),15.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2010,Permanent crops (% of total land area),9.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2010,Forest cover (% of total land area),49.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),33.66,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
35,South-eastern Asia,2016,Land area (thousand hectares),"434,050",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2016,Arable land (thousand hectares),"70,174",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2016,Permanent crops (thousand hectares),"46,303",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2016,Forest cover (thousand hectares),"209,992",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2016,Arable land (% of total land area),16.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2016,Permanent crops (% of total land area),10.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2016,Forest cover (% of total land area),48.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
35,South-eastern Asia,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),35.21,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
35,South-eastern Asia,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),35.25,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
34,Southern Asia,2005,Land area (thousand hectares),"640,034",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2005,Arable land (thousand hectares),"225,413",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2005,Permanent crops (thousand hectares),"14,631",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2005,Forest cover (thousand hectares),"91,519",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2005,Arable land (% of total land area),35.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2005,Permanent crops (% of total land area),2.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2005,Forest cover (% of total land area),14.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),29.18,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
34,Southern Asia,2010,Land area (thousand hectares),"640,034",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2010,Arable land (thousand hectares),"220,858",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2010,Permanent crops (thousand hectares),"16,865",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2010,Forest cover (thousand hectares),"93,406",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2010,Arable land (% of total land area),34.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2010,Permanent crops (% of total land area),2.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2010,Forest cover (% of total land area),14.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),30.28,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
34,Southern Asia,2016,Land area (thousand hectares),"640,036",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2016,Arable land (thousand hectares),"221,201",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2016,Permanent crops (thousand hectares),"17,826",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2016,Forest cover (thousand hectares),"94,223",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2016,Arable land (% of total land area),34.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2016,Permanent crops (% of total land area),2.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2016,Forest cover (% of total land area),14.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
34,Southern Asia,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),32.78,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
34,Southern Asia,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),32.78,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
145,Western Asia,2005,Land area (thousand hectares),"479,491",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2005,Arable land (thousand hectares),"42,240",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2005,Permanent crops (thousand hectares),"5,377",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2005,Forest cover (thousand hectares),"18,347",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2005,Arable land (% of total land area),8.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2005,Permanent crops (% of total land area),1.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2005,Forest cover (% of total land area),3.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),11.07,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
145,Western Asia,2010,Land area (thousand hectares),"479,248",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2010,Arable land (thousand hectares),"38,091",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2010,Permanent crops (thousand hectares),"5,623",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2010,Forest cover (thousand hectares),"19,103",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2010,Arable land (% of total land area),7.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
145,Western Asia,2010,Permanent crops (% of total land area),1.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
